Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
0	-7336.370728947401	-7162.050546816175	-174.32018213122686	0.1	0.2701176263486813	0.011264262357145562
50	-6079.575632755385	-5959.852050814456	-119.72358194092992	0.10965964613981388	0.4723267512813276	0.03852275963630736
100	-5939.250993750845	-5864.838932039059	-74.4120617117863	0.25376128425637356	0.7533208895896074	0.034190811715150635
150	-5870.376722774244	-5832.774409037335	-37.602313736908755	0.42884242577774284	1.3028025845064237	0.027443458278593954
200	-5850.797422051658	-5825.360377854754	-25.43704419690446	0.4438074265059582	1.7611623719411527	0.027443458278593954
250	-5834.136608858682	-5821.132726628671	-13.003882230011314	0.9792328624819319	2.4217606121669415	0.02343551520289765
300	-5833.696503952785	-5822.54422343274	-11.15228052004456	0.8623978182269224	2.8623992661979187	0.018406048445076973
350	-5829.424263615407	-5818.838077056317	-10.586186559089235	0.7567804410775677	3.174169803234819	0.015434133952571807
400	-5819.942075211251	-5810.026468400538	-9.915606810713372	0.7981482829201928	4.134432638907311	0.01562693030277365
450	-5812.948536321082	-5803.357039869065	-9.591496452016923	0.7145742419399508	3.8134250365952145	0.016551755378419717
500	-5813.950476635981	-5804.259911869839	-9.690564766142458	0.8398513253220564	3.946872390564156	0.01826669106560991
550	-5814.397642817521	-5803.335125936571	-11.062516880949836	0.8939476218672352	4.554067333234833	0.015929156702762994
600	-5816.186321086475	-5801.215224024095	-14.971097062379659	0.9502466866649244	5.502792203860924	0.013143689811034502
650	-5818.907581392449	-5804.435126660765	-14.472454731684918	0.5899574016073617	5.715871134003773	0.013633434824927737
700	-5819.131573133053	-5803.646795418833	-15.484777714220714	0.7382508165602275	5.879699543503415	0.012698462035914479
750	-5812.819145618388	-5801.876967600552	-10.94217801783507	0.8778298186269922	4.548411196549781	0.013213717998931777
800	-5814.459151572148	-5803.785532404048	-10.67361916809922	0.890598814581252	4.444565096502693	0.014298852859707605
850	-5812.302919443487	-5801.539090282932	-10.763829160554707	0.6415985503861739	4.444565096502693	0.016100754329549192
900	-5812.1068514733115	-5801.447183963229	-10.6596675100831	0.7081632711362279	4.422753958401579	0.016410319895706446
950	-5812.3504890683	-5802.030805221989	-10.319683846311003	0.7952106289863559	4.243357428837618	0.01804379952972821
1000	-5809.409055897716	-5798.693322183734	-10.715733713981107	1.0399964511738433	4.2460854641537065	0.01485734252264616
1050	-5808.599447652632	-5798.554522619785	-10.04492503284724	0.6207867713465861	4.05989584579058	0.012186400663574582
1100	-5804.634744770161	-5794.121214794633	-10.513529975527979	0.812306864617318	4.365362595828777	0.013155904664752301
1150	-5806.178120960737	-5795.676032037837	-10.502088922900054	0.6151402885223981	4.264936860049131	0.013264644702817581
1200	-5810.61964567536	-5797.526012818879	-13.093632856480227	1.0850593128748423	4.844410372847781	0.012945281703981574
1250	-5811.267065418512	-5797.020983913454	-14.24608150505769	0.6066980534074908	5.625052594910398	0.010999169617345636
